target,pdb_id,source_url,source_bytes,source_sha256,atom_records,hetatm_records,blank_element_fields,alternate_location_records,chain_ids,outcome,return_code,pdbqt_bytes,error_class
aa2ar,3eml,https://dude.docking.org/targets/aa2ar/receptor.pdb,123530,675e61ad729004bfcd764b2dbfeaa3f4fab6bcf53f373f4eec1016977bc1bfcb,2246,0,2246,0,_,direct_failure,1,0,blank_element_fields
abl1,2hzi,https://dude.docking.org/targets/abl1/receptor.pdb,146823,5de86873ef3cf4a0d26a0f55473f5c2023b1d4d03ec8f6c6fb7859873666263f,2643,0,2643,0,_,direct_failure,1,0,blank_element_fields
ace,3bkl,https://dude.docking.org/targets/ace/receptor.pdb,301295,8909493930365455aa51a96322338db45c0f05f6b10b1e7924c249c52a08adaf,5456,0,5456,0,_,direct_failure,1,0,blank_element_fields
aces,1e66,https://dude.docking.org/targets/aces/receptor.pdb,233187,8e49e26069532aabd38eabbd5f88555c103bea0d04d859be9796214244852051,4200,0,4200,0,_,direct_failure,1,0,blank_element_fields
ada,2e1w,https://dude.docking.org/targets/ada/receptor.pdb,177800,a6fcb220c77b63a373bb41bca62de30c8f3efed852e083b41b7be4f413956980,3218,0,3218,0,_,direct_failure,1,0,blank_element_fields
ada17,2oi0,https://dude.docking.org/targets/ada17/receptor.pdb,130790,e9d5c2a479baa530de6846697dee55ec20c1828071ef34869e83d5889cafb769,2378,0,2378,0,_,direct_failure,1,0,blank_element_fields
adrb1,2vt4,https://dude.docking.org/targets/adrb1/receptor.pdb,145530,3975824cd823e42b69103f9caf3a0f0c69bbd0a906f681f07d060939064975ac,2646,0,2646,0,_,direct_failure,1,0,blank_element_fields
adrb2,3ny8,https://dude.docking.org/targets/adrb2/receptor.pdb,122033,22daeb40a9667eea855683d2ea1fdd2313d2de1ab5bbc1e8e036536af331ad19,2207,0,2207,0,_,direct_failure,1,0,blank_element_fields
akt1,3cqw,https://dude.docking.org/targets/akt1/receptor.pdb,161810,e46f20507bc718a6686f844d116bb0685da7321b054951319e63260cd30be683,2942,0,2942,0,_,direct_failure,1,0,blank_element_fields
akt2,3d0e,https://dude.docking.org/targets/akt2/receptor.pdb,187275,d27895b456f7421d39d7b5d2c55b00a9f4c972649b83dfda00a6f05b37802600,3405,0,3405,0,_,direct_failure,1,0,blank_element_fields
aldr,2hv5,https://dude.docking.org/targets/aldr/receptor.pdb,158828,de531edd59a1371e98c9b511653c7c9ddfbc5f5d854e4d44de0013867ffb1269,2876,0,2876,0,_,direct_failure,1,0,blank_element_fields
ampc,1l2s,https://dude.docking.org/targets/ampc/receptor.pdb,194312,1cb170ef471ab7a4fbb4cad94cf935284c7c44f465b9482ce2ced0c77b3577f5,3409,0,3409,0,_,direct_failure,1,0,blank_element_fields
andr,2am9,https://dude.docking.org/targets/andr/receptor.pdb,125417,ef600c2c5a5dafe1d949321e500ffeee45d1d72d788632bb2705ce4f24fb7a0c,2270,0,2270,0,_,direct_failure,1,0,blank_element_fields
aofb,1s3b,https://dude.docking.org/targets/aofb/receptor.pdb,245465,fdf73cc8ace9cdd65c5781072cd74ae0231413e56f659c2879d8eaf8b31f6467,4463,0,4463,0,_,direct_failure,1,0,blank_element_fields
bace1,3l5d,https://dude.docking.org/targets/bace1/receptor.pdb,193379,0b71a2d1ffe04b24d1675fcdad971cfdcb4cf4dada3332e513f4e15736cafd19,3488,0,3488,0,_,direct_failure,1,0,blank_element_fields
braf,3d4q,https://dude.docking.org/targets/braf/receptor.pdb,176380,acc6c835f0486ab2961c498b9ccc506da75cd293924a0f70a714df5ca3a5350e,3166,0,3166,0,_,direct_failure,1,0,blank_element_fields
cah2,1bcd,https://dude.docking.org/targets/cah2/receptor.pdb,138047,c2c8942a1c3559975beeeb84c10af5e947aa4c297f9254cee9cac4bb6b97f874,2507,0,2507,0,_,direct_failure,1,0,blank_element_fields
casp3,2cnk,https://dude.docking.org/targets/casp3/receptor.pdb,104225,3e99b27f61a41f4b0fa5a298286061395a3faf7e7ae4750110587d83d385b753,1895,0,1895,0,_,direct_failure,1,0,blank_element_fields
cdk2,1h00,https://dude.docking.org/targets/cdk2/receptor.pdb,149765,2f5073edf5bd30f625d454d5411dd2c8d0312d8869c1850567b5796e50fa3a4d,2723,0,2723,0,_,direct_failure,1,0,blank_element_fields
comt,3bwm,https://dude.docking.org/targets/comt/receptor.pdb,108240,fb277c91e16af29f4aa2b710dcfb80fc3842bcccc53cd16f23907b9830589ab4,1968,0,1968,0,_,direct_failure,1,0,blank_element_fields
cp2c9,1r9o,https://dude.docking.org/targets/cp2c9/receptor.pdb,202895,502c69068142923127969bf675309a2283a6f1ee365ad98fdafc4181dd1213cf,3689,0,3689,0,_,direct_failure,1,0,blank_element_fields
cp3a4,3nxu,https://dude.docking.org/targets/cp3a4/receptor.pdb,235895,ef02375b4b53d5132e90a4e5d43770c017887bd6f6b9e0ac42e1b32e8d667420,4289,0,4289,0,_,direct_failure,1,0,blank_element_fields
csf1r,3krj,https://dude.docking.org/targets/csf1r/receptor.pdb,140245,8e7e9cae4046b52921ceb098a1da7427cbaf8e44b1d2f5ab17a9a5fae2f943fc,2515,0,2515,0,_,direct_failure,1,0,blank_element_fields
cxcr4,3odu,https://dude.docking.org/targets/cxcr4/receptor.pdb,156362,72ccedad86654abe6d8c0b1a3c203035c2e63653dcf29462bd8974a80a451f08,2840,0,2840,0,_,direct_failure,1,0,blank_element_fields
def,1lru,https://dude.docking.org/targets/def/receptor.pdb,88385,454e5ccdb0cbc9e00a3e769e16c9d039cf61048923d52f69f2a48d5df226643c,1607,0,1607,0,_,direct_failure,1,0,blank_element_fields
dhi1,3frj,https://dude.docking.org/targets/dhi1/receptor.pdb,170995,eeb74cd72e6fc767ed16667d874debd03467a2d9659f7eb8fe71bc69cdea057e,3109,0,3109,0,_,direct_failure,1,0,blank_element_fields
dpp4,2i78,https://dude.docking.org/targets/dpp4/receptor.pdb,320109,aeb706f0a831503884860ae71a647b6c1628fe0c9b7b024c7e6998b19b2a7a2c,5748,0,5748,0,_,direct_failure,1,0,blank_element_fields
drd3,3pbl,https://dude.docking.org/targets/drd3/receptor.pdb,116490,7e0923cc72da9eef69700fdbdfb81c100d483a17c590a1b99ea2fc94f3f20b92,2118,0,2118,0,_,direct_failure,1,0,blank_element_fields
dyr,3nxo,https://dude.docking.org/targets/dyr/receptor.pdb,103837,e85dcd5df8b43eade27ba7bfc9a706d102a0aa76897228f93c2fbcee92fb9733,1885,0,1885,0,_,direct_failure,1,0,blank_element_fields
egfr,2rgp,https://dude.docking.org/targets/egfr/receptor.pdb,136263,be15260aa0149c4176eac98324dd60c8e2606e067a4f1206cef0c67eed3d8a06,2451,0,2451,0,_,direct_failure,1,0,blank_element_fields
esr1,1sj0,https://dude.docking.org/targets/esr1/receptor.pdb,114581,900a04e0aa62ec66fade6fcdaaa600315ed983d7cbaf6e950445c9d52dc1e275,2060,0,2060,0,_,direct_failure,1,0,blank_element_fields
esr2,2fsz,https://dude.docking.org/targets/esr2/receptor.pdb,145031,23cf64d1f1d37b4e50880309eb5e45317d94e40fa9d602791e403fc158fc4925,2606,0,2606,0,_,direct_failure,1,0,blank_element_fields
fa10,3kl6,https://dude.docking.org/targets/fa10/receptor.pdb,124809,3d69c9386e6f57dc72a2a7d3d4db1eeaa5bb63d80c22798c70d0cd827eab8ea8,2256,0,2256,0,_,direct_failure,1,0,blank_element_fields
fa7,1w7x,https://dude.docking.org/targets/fa7/receptor.pdb,129921,e1b986f4161d149715b1feb72ad95d7796c91807b5badd59edc07e02bf4d8e73,2346,0,2346,0,_,direct_failure,1,0,blank_element_fields
fabp4,2nnq,https://dude.docking.org/targets/fabp4/receptor.pdb,69601,51e83255bc3a5079c87d146c9816ebf2f35b6de6aad720615d388132d36404e0,1264,0,1264,0,_,direct_failure,1,0,blank_element_fields
fak1,3bz3,https://dude.docking.org/targets/fak1/receptor.pdb,130442,d5176abe7a5b1b1beca59c60c17997e9e296bc947d3a3e442fec44baf92503d3,2354,0,2354,0,_,direct_failure,1,0,blank_element_fields
fgfr1,3c4f,https://dude.docking.org/targets/fgfr1/receptor.pdb,134784,665442bfec55e8950746fbe15175893041b87ac86ec75f0be2f9b4bd1f398eb9,2430,0,2430,0,_,direct_failure,1,0,blank_element_fields
fkb1a,1j4h,https://dude.docking.org/targets/fkb1a/receptor.pdb,56016,ab876ab8910424682d4778c4258e0f7e1167a812ca096e0aa5b370af990ccc20,1017,0,1017,0,_,direct_failure,1,0,blank_element_fields
fnta,3e37,https://dude.docking.org/targets/fnta/receptor.pdb,295680,45ff1dc1df5b49c93b07a9d6e9239ef0dc411076caf66e5b91cc2fa2cf7c0800,5376,0,5376,0,_,direct_failure,1,0,blank_element_fields
fpps,1zw5,https://dude.docking.org/targets/fpps/receptor.pdb,160875,e9b9c308071b91d0acb6705972c93deb5133cb8195badd431456f7453eb33ad6,2925,0,2925,0,_,direct_failure,1,0,blank_element_fields
gcr,3bqd,https://dude.docking.org/targets/gcr/receptor.pdb,137365,0ac536f77cdb596c1731c1d55131759f2fd71f4b790d38de39c48a4108bf3ab4,2449,0,2449,0,_,direct_failure,1,0,blank_element_fields
glcm,2v3f,https://dude.docking.org/targets/glcm/receptor.pdb,258130,76d19531a56f639b75490010952b467da23266c7e3ac3827c30040b352a44036,4627,0,4627,0,_,direct_failure,1,0,blank_element_fields
gria2,3kgc,https://dude.docking.org/targets/gria2/receptor.pdb,165880,cbac2efbf3ef47b3892f506915607adcfcc045276758d01d9e933b6c29358d76,3016,0,3016,0,_,direct_failure,1,0,blank_element_fields
grik1,1vso,https://dude.docking.org/targets/grik1/receptor.pdb,130124,9e356a23a588c7bf16e2a3350126ca1e2f91b7307d75a205546891289cfdf288,2360,0,2360,0,_,direct_failure,1,0,blank_element_fields
hdac2,3max,https://dude.docking.org/targets/hdac2/receptor.pdb,203115,7e5540f049a2b58e0e8aa690f495154d2d71836a06f5327c244464f6a0af7c2e,3693,0,3693,0,_,direct_failure,1,0,blank_element_fields
hdac8,3f07,https://dude.docking.org/targets/hdac8/receptor.pdb,173415,a841e1c42193afb9c98dfd42573073fe03345c611af3bc57e46b585739bcad27,3153,0,3153,0,_,direct_failure,1,0,blank_element_fields
hivint,3nf7,https://dude.docking.org/targets/hivint/receptor.pdb,115060,0e827d60698e81254792782183e8dd8663db2095a4a43ec13fb220f913f9eec5,2092,0,2092,0,_,direct_failure,1,0,blank_element_fields
hivpr,1xl2,https://dude.docking.org/targets/hivpr/receptor.pdb,101475,a39f4456b05a2b9f816944849f934f8ea71de4fc085d689204c359111c9190bc,1845,0,1845,0,A;B,direct_failure,1,0,blank_element_fields
hivrt,3lan,https://dude.docking.org/targets/hivrt/receptor.pdb,150632,ffcb8c9bd2db367757f9a66998316125698c683c01dd12c114d11d470948c175,2707,0,2707,0,_,direct_failure,1,0,blank_element_fields
hmdh,3ccw,https://dude.docking.org/targets/hmdh/receptor.pdb,294317,d4209fa458be210a83e8e0184df111fa67f3d11035c49919a72832613500b598,5282,0,5282,0,_,direct_failure,1,0,blank_element_fields
hs90a,1uyg,https://dude.docking.org/targets/hs90a/receptor.pdb,109725,acfca441f80c6765fe09362fdf882d45fcfba281e0a3a4edb2a1f3fc58d87743,1995,0,1995,0,_,direct_failure,1,0,blank_element_fields
hxk4,3f9m,https://dude.docking.org/targets/hxk4/receptor.pdb,149955,1d9b6dc09542b3de6312fbf1359aee0f788ba3932cb3ee76ed68404968ea6148,2697,0,2697,0,_,direct_failure,1,0,blank_element_fields
