target,pdb_id,mmcif_sha256,outcome,return_code,pdbqt_bytes,error_class
aa2ar,3eml,fc5e7cadd3951548025a382db1cd5e0b64aadfa2f160fe3436bf1f4ed840a888,direct_success,0,380052,
abl1,2hzi,e5c6618622705247be65be42e21908322a71be027d3dba74f96208122fe207c8,direct_failure,1,0,alternate_locations
ace,3bkl,341843213cbb4b09e654594215424b1a2592157c5534a059bf25fdea360ec000,direct_failure,1,0,other_preparation_failure
aces,1e66,344d0d9d4fbad0a876bb9198cb2019b79d51412c5549bcad056f95a9ef66695e,direct_failure,1,0,other_preparation_failure
ada,2e1w,178b6c3c26012cbe31a3f3ade40b84e59def3531e9f2c0b3c8ccad5c230cbe14,direct_success,0,306666,
ada17,2oi0,d6f8e76f1811ecff95508cebd38941f71d3da31b05ff18163cd33a55fa558149,direct_success,0,245025,
adrb1,2vt4,3ac0a5d37d77c9ffd79df91c7b7dad86e47696f13e8e11ae1071f080db0bff66,direct_failure,1,0,residue_template_mismatch
adrb2,3ny8,fd49cdc74148252c613ed7ced744926fba6e4cf7c86f5cc4c5d0aafb001e9bf3,direct_failure,1,0,residue_template_mismatch
akt1,3cqw,7d3693c0e666b702aff3c2a48337a9cdb1d3af1838724cf94a6483106cb1e4eb,direct_failure,1,0,alternate_locations
akt2,3d0e,bb72ca782f14b3a1d75b691f542e56cc5132a5644ed934da156eae74911f6001,direct_success,0,639576,
aldr,2hv5,2abb379313704e9a2b80ee58c1c1e91d6a8c3ca6a955588b215f7e3149c6902a,direct_failure,1,0,alternate_locations
ampc,1l2s,c212cbdabaf54f2b445932afa93b390ba8139273a061af005a724af3ccfb130f,direct_failure,1,0,alternate_locations
andr,2am9,dd5f9eece09330a3f763a51317a2f3feda5fcd2ba038b74286b1cd29d077f76f,direct_failure,1,0,other_preparation_failure
aofb,1s3b,c42afb4e8198ce1ddbf9c56480a69ad239c2a46e4bdd26c59c8d8b0c4c925c6c,direct_failure,1,0,other_preparation_failure
bace1,3l5d,0b7669b1718f1ab3f7cc30f617fc27bd75bfd72d49a2b1a507b0990ed38a8de3,direct_success,0,828792,
braf,3d4q,034d6572fda3bb64e13c3b42ef5d55466f3ec4704f47d1357fa23bf802d0d983,direct_success,0,428733,
cah2,1bcd,d15065309a0fe0fd8daca44474f73b4d9eca2d9f1c7f1bb456d9c08f7e3804c6,direct_failure,1,0,alternate_locations
casp3,2cnk,67d18c61685750c0289023322a02d9347d46bea8b86475e560a60adab64fc0be,direct_failure,1,0,other_preparation_failure
cdk2,1h00,746477bc8f4cda3a0f72f7e0692d5a6022d28cc8d286e8fbd4a95fd701226126,direct_failure,1,0,alternate_locations
comt,3bwm,debe2736e6c5affecce595281fac469cd424ab6e91a5d908ec89d9460f60e4f6,direct_failure,1,0,element_error
cp2c9,1r9o,9efe23de6cb1b57ce815a96adc172a49d2db4498c0c20c577f3da6f206a3f7a6,direct_success,0,427032,
cp3a4,3nxu,8328d272e0ef1aeeb551e2fb662218dcace634889cbcd454cd986bb641d4424a,direct_success,0,834543,
csf1r,3krj,c520fcf42dbc47f2a02018e81fbb16f8b7163f67da25ea966f8401ad413bac36,direct_failure,1,0,alternate_locations
cxcr4,3odu,347869bf312494329142b2fcf2bb2608cc3c47acee6bd045e849b0bf15322ede,direct_failure,1,0,alternate_locations
def,1lru,77bf6e9214a7eeadb0885f7a95163bc806aa9f3ee1fc8f6fcf7aa7f836016602,direct_failure,1,0,residue_template_mismatch
dhi1,3frj,e2f6e596137b1b5ac4e0da1374c0c2d0e6faa3986cbe3cffcc0bfe408e0f8168,direct_failure,1,0,alternate_locations
dpp4,2i78,4c01c0b72f18b43d9525c31356ec0e3a6da8f6431de717144c23d87fef80cd2f,direct_failure,timeout,0,preparation_timeout
drd3,3pbl,1b41a751610112de0c404a4a62e140e92ad9097e75e9c6eb50db6e1091bb45d0,direct_failure,1,0,other_preparation_failure
dyr,3nxo,34c15dac38a933ecee7ff13b2b611099ca53de2c6ef53036cb4be33e8c7c3f63,direct_failure,1,0,other_preparation_failure
egfr,2rgp,2c557b019c22c21fe1286f2ebfe8a7fa9171cf60a6b9563242aa5f2fcbf09dd9,direct_failure,1,0,residue_template_mismatch
esr1,1sj0,e7dbcb6d039756877f42c99bc69ed2f42b2b0e20fdb6e7fab09e3b1b0a6007f2,direct_failure,1,0,residue_template_mismatch
esr2,2fsz,615959763cce25be7fec54e2670d23bf135b713ea37781ead2bca6ab2e9abf73,direct_success,0,367983,
fa10,3kl6,0bad93fbb2f96a2436321e7e18473b94682671e7d8f92d575f72cdcf6742262d,direct_success,0,273861,
fa7,1w7x,7fc12176cd74ab07a60721859134b2e55065d7da4e2342b5bd1256bd7345b118,direct_failure,1,0,residue_template_mismatch
fabp4,2nnq,3827256abb025cb4ef5ebe718171785de1e907005aff7982669e7683a3c9b99c,direct_failure,1,0,residue_template_mismatch
fak1,3bz3,0d8665c771aa861743a6180ca09e6750f48d821c3225f9c92b32f13c0fb82184,direct_failure,1,0,alternate_locations
fgfr1,3c4f,15c8619604ead5ae9fabef8004710fb7fe028463f0e21f0d782e4a8e08c549ed,direct_failure,1,0,alternate_locations
fkb1a,1j4h,bf3460082a00ece1228d75079612d75d74582092cc7dbb7e80c5568d61d3bdaf,direct_success,0,118341,
fnta,3e37,9d03452cdfc72604360a69134a32e09ca6d5b84d818c3b46612c96e223ca0e6f,direct_failure,1,0,other_preparation_failure
fpps,1zw5,2d3c01c9babfcf41572045617bf6adbce703bb8a571d94818c220ca979a4dd1d,direct_failure,1,0,alternate_locations
gcr,3bqd,3a78353d8d0a9c202574c737ab86117d7086648275a565b0e99a5e8468d13c3a,direct_failure,1,0,residue_template_mismatch
glcm,2v3f,590b9b4b42420eb0eb4696beab0c369e0e064c416fa2f8dc6db2084f22ba7e75,direct_failure,1,0,other_preparation_failure
gria2,3kgc,c947b9823de9fcdd922624e5f428a30259d5d23653c9fba463ee988f0cba0c5e,direct_failure,1,0,residue_template_mismatch
grik1,1vso,571858dc6e621cbb9f51685ffc2b209e57e16f6fdaa483e25e5c1bc00c23a095,direct_failure,1,0,alternate_locations
hdac2,3max,d7cd1eb0672136aaa9f2b7b83cca8e99824d24f4b9df75937798b159acbe1321,direct_failure,1,0,alternate_locations
hdac8,3f07,2acadf72a4020a1ed33ef823fda02b3e492a59402cf56b11f36da3c9e5e50cf6,direct_failure,1,0,element_error
hivint,3nf7,935059bba5f7cef05bcec8e0ed743d082df2a41fec6dd94a54ca61e0609c1920,direct_failure,1,0,alternate_locations
hivpr,1xl2,f6360a36a883463dc96163827457570d9b61b84e23bde07378bd85b6467b28af,direct_failure,1,0,alternate_locations
hivrt,3lan,013eabcebc9d7e73b73e4c852064bbae350d6c2f6152ce2f639b9c8b51371dc9,direct_failure,1,0,residue_template_mismatch
hmdh,3ccw,6d75792991c9c3c261138b6f1c081af3c335c34e1194e3fbf43c8ae0dc0e7747,direct_success,0,1336095,
hs90a,1uyg,ebf917aa6114925d26c3ce7f609c0ed1039e8a52a3db9e012f409c2981ef93b4,direct_failure,1,0,alternate_locations
hxk4,3f9m,2ebc367654a3cc98f7927fecf7df0f15c8f0cc645df71684428601bc8f237a97,direct_failure,1,0,alternate_locations
igf1r,2oj9,5d371d038bf9f7472d516abb67e26833270f91de23d615badf542410277f720c,direct_failure,1,0,residue_template_mismatch
inha,2h7l,6dd9c9b2baab6c79b23ff8a0f928623eb6503aa2baa9bb2be7686d92f95b39f2,direct_success,0,286497,
ital,2ica,016e9ee972850b78bcc0a7beb7ef0e2d3ac7ea2a6555af50ea99e62bb7a4e40c,direct_failure,1,0,residue_template_mismatch
jak2,3lpb,369f302c08b751c77ac01f4e17c8c1713c2438749a2fd2407d505f8c9a9a0e2c,direct_failure,1,0,alternate_locations
kif11,3cjo,94f8d6c475d6533d39cc2cd7241cc557af2eb058cd3da0495eb98abd77d9e705,direct_success,0,607905,
