target,pdb_id,rcsb_url,dude_atom_records,mapped_records,unmatched_records,conflicting_element_records,rcsb_sha256,outcome,error_class
aa2ar,3eml,https://files.rcsb.org/download/3EML.cif,2246,2148,98,0,fc5e7cadd3951548025a382db1cd5e0b64aadfa2f160fe3436bf1f4ed840a888,incomplete_or_conflicting_mapping,
abl1,2hzi,https://files.rcsb.org/download/2HZI.cif,2643,0,2643,0,e5c6618622705247be65be42e21908322a71be027d3dba74f96208122fe207c8,incomplete_or_conflicting_mapping,
ace,3bkl,https://files.rcsb.org/download/3BKL.cif,5456,0,5456,0,341843213cbb4b09e654594215424b1a2592157c5534a059bf25fdea360ec000,incomplete_or_conflicting_mapping,
aces,1e66,https://files.rcsb.org/download/1E66.cif,4200,1748,2452,0,344d0d9d4fbad0a876bb9198cb2019b79d51412c5549bcad056f95a9ef66695e,incomplete_or_conflicting_mapping,
ada,2e1w,https://files.rcsb.org/download/2E1W.cif,3218,1329,1889,0,178b6c3c26012cbe31a3f3ade40b84e59def3531e9f2c0b3c8ccad5c230cbe14,incomplete_or_conflicting_mapping,
ada17,2oi0,https://files.rcsb.org/download/2OI0.cif,2378,0,2378,0,d6f8e76f1811ecff95508cebd38941f71d3da31b05ff18163cd33a55fa558149,incomplete_or_conflicting_mapping,
adrb1,2vt4,https://files.rcsb.org/download/2VT4.cif,2646,1087,1559,0,3ac0a5d37d77c9ffd79df91c7b7dad86e47696f13e8e11ae1071f080db0bff66,incomplete_or_conflicting_mapping,
adrb2,3ny8,https://files.rcsb.org/download/3NY8.cif,2207,0,2207,0,fd49cdc74148252c613ed7ced744926fba6e4cf7c86f5cc4c5d0aafb001e9bf3,incomplete_or_conflicting_mapping,
akt1,3cqw,https://files.rcsb.org/download/3CQW.cif,2942,0,2942,0,7d3693c0e666b702aff3c2a48337a9cdb1d3af1838724cf94a6483106cb1e4eb,incomplete_or_conflicting_mapping,
akt2,3d0e,https://files.rcsb.org/download/3D0E.cif,3405,0,3405,0,bb72ca782f14b3a1d75b691f542e56cc5132a5644ed934da156eae74911f6001,incomplete_or_conflicting_mapping,
aldr,2hv5,https://files.rcsb.org/download/2HV5.cif,2876,1218,1658,0,2abb379313704e9a2b80ee58c1c1e91d6a8c3ca6a955588b215f7e3149c6902a,incomplete_or_conflicting_mapping,
ampc,1l2s,https://files.rcsb.org/download/1L2S.cif,3409,0,3409,0,c212cbdabaf54f2b445932afa93b390ba8139273a061af005a724af3ccfb130f,incomplete_or_conflicting_mapping,
andr,2am9,https://files.rcsb.org/download/2AM9.cif,2270,920,1350,0,dd5f9eece09330a3f763a51317a2f3feda5fcd2ba038b74286b1cd29d077f76f,incomplete_or_conflicting_mapping,
